Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Casa Ryda,ES,Smart TV,0,swedi,,play,suggestion_results,2022-12-13 18:05:47
Casa Ryda,ES,Smart TV,0,swedi,,select,suggestion_results,2022-12-13 18:05:45
Casa Ryda,ES,Smart TV,0,swedi,,play,suggestion_results,2022-12-13 18:05:25
Casa Ryda,ES,Smart TV,0,swedi,,select,suggestion_results,2022-12-13 18:05:23
Casa Ryda,ES,Smart TV,0,swedi,JJ+E,play,suggestion_results,2022-12-13 18:05:20
Casa Ryda,ES,Smart TV,0,swedi,JJ+E,select,suggestion_results,2022-12-13 18:05:17
Casa Ryda,ES,Smart TV,0,swedi,,play,suggestion_results,2022-12-13 18:04:30
Casa Ryda,ES,Smart TV,0,swedi,,select,suggestion_results,2022-12-13 18:04:28
Casa Ryda,ES,Smart TV,0,swedi,To Kill a Child,play,suggestion_results,2022-12-13 18:04:21
Casa Ryda,ES,Smart TV,0,swedi,To Kill a Child,select,suggestion_results,2022-12-13 18:04:18
Casa Ryda,ES,Smart TV,0,swedi,,select,suggestion_results,2022-12-13 18:04:17
Casa Ryda,ES,Smart TV,0,swedi,,select,suggestion_results,2022-12-13 18:04:17
Casa Ryda,ES,Smart TV,0,adam ,When We First Met,play,suggestion_results,2022-12-10 17:37:18
Casa Ryda,ES,Smart TV,0,adam ,When We First Met,play,suggestion_results,2022-12-10 17:32:59
Casa Ryda,ES,Smart TV,0,adam ,When We First Met,select,suggestion_results,2022-12-10 17:32:57
Casa Ryda,ES,Smart TV,0,adam ,,select,suggestion_results,2022-12-10 17:32:32
Casa Ryda,ES,Smart TV,0,adam ,,select,suggestion_results,2022-12-10 17:32:32
Casa Ryda,ES,Smart TV,0,da,,play,title_results,2022-12-10 17:31:47
Casa Ryda,ES,Smart TV,0,da,,play,title_results,2022-12-10 17:31:47
Casa Ryda,ES,Smart TV,0,da,,select,title_results,2022-12-10 17:31:44
Casa Ryda,ES,Smart TV,0,da,,select,title_results,2022-12-10 17:31:44
Casa Ryda,ES,Smart TV,0,,Knives Out,play,prequery_results,2022-12-07 18:27:05
Casa Ryda,ES,Smart TV,0,,Knives Out,select,prequery_results,2022-12-07 18:27:02
Casa Ryda,ES,HTML 5,0,knives,Knives Out,play,title_results,2022-12-06 21:36:33
Casa Ryda,ES,HTML 5,0,knives,Knives Out,play,title_results,2022-12-06 21:36:33
Casa Ryda,ES,Smart TV,0,kniv,Knives Out,play,title_results,2022-12-05 20:17:31
Casa Ryda,ES,Smart TV,0,kniv,Knives Out,play,title_results,2022-12-05 20:17:31
Casa Ryda,ES,Smart TV,0,kniv,Knives Out,select,title_results,2022-12-05 20:17:29
Casa Ryda,ES,Smart TV,0,kniv,Knives Out,select,title_results,2022-12-05 20:17:29
Casa Ryda,ES,Smart TV,0,kniv,Glass Onion: A Knives Out Mystery,select,title_results,2022-12-05 20:16:00
Casa Ryda,ES,Smart TV,0,kniv,Glass Onion: A Knives Out Mystery,select,title_results,2022-12-05 20:16:00
Casa Ryda,ES,Smart TV,0,kniv,Knives Out,play,title_results,2022-12-05 20:15:53
Casa Ryda,ES,Smart TV,0,kniv,Knives Out,play,title_results,2022-12-05 20:15:53
Casa Ryda,ES,Smart TV,0,kniv,Knives Out,select,title_results,2022-12-05 20:15:51
Casa Ryda,ES,Smart TV,0,kniv,Knives Out,select,title_results,2022-12-05 20:15:51
Casa Ryda,ES,Smart TV,0,an,,play,title_results,2022-11-30 13:13:42
Casa Ryda,ES,Smart TV,0,an,,play,title_results,2022-11-30 13:13:42
Casa Ryda,ES,Smart TV,0,an,,select,title_results,2022-11-30 13:13:39
Casa Ryda,ES,Smart TV,0,an,,select,title_results,2022-11-30 13:13:39
Casa Ryda,ES,Smart TV,0,lost,The Lost Patient,play,title_results,2022-11-29 17:40:05
Casa Ryda,ES,Smart TV,0,lost,The Lost Patient,play,title_results,2022-11-29 17:40:05
Casa Ryda,ES,Smart TV,0,lost,The Lost Patient,select,title_results,2022-11-29 17:40:03
Casa Ryda,ES,Smart TV,0,lost,The Lost Patient,select,title_results,2022-11-29 17:40:03
Casa Ryda,ES,HTML 5,0,i think you,"I Think You Should Leave with Tim Robinson: Season 1: ""Has This Ever Happened To You?""",play,title_results,2022-11-21 21:15:29
Casa Ryda,ES,HTML 5,0,i think you,"I Think You Should Leave with Tim Robinson: Season 1: ""Has This Ever Happened To You?""",play,title_results,2022-11-21 21:15:29
Casa Ryda,ES,HTML 5,0,wednesday,,add,title_results,2022-11-17 11:01:02
Casa Ryda,ES,HTML 5,0,wednesday,,add,title_results,2022-11-17 11:01:02
